instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Regis University,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Higher part-time four-year,Majority graduate/professional,Medium four-year- primarily nonresidential,-105.03138500000001,39.789760000000001,29195.0,30397.0,0.059999999999999998,
Rocky Mountain College of Art and Design,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-105.069911,39.743320000000004,29139.0,31897.0,,
Montessori Education Center of the Rockies,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-105.25311000000001,39.965040000000002,,,,
Colorado State University-Pueblo,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Master's Colleges and Universities (smaller programs),Full-time four-year- inclusive,High undergraduate,Medium four-year- primarily nonresidential,-104.57984599999999,38.309218999999999,,,0.040000000000000001,
Pickens Technical College,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-104.78998,39.723527000000004,,,,
Intellitec College-Colorado Springs,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-104.78721,38.832183000000001,,,,
Intellitec College-Grand Junction,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-108.53062,39.116346,13697.0,,,
Trinidad State Junior College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-104.51218399999999,37.172939,,,,
University of Colorado System Office,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-104.983277,39.74521,,,,
United States Air Force Academy,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- more selective- lower transfer-in,Exclusively undergraduate four-year,Medium four-year- highly residential,-104.88989299999999,39.011113000000002,,,0.02,
Empire Beauty School-Thornton,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-104.943533,39.914863000000004,17624.0,17624.0,,
Western State College of Colorado,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- selective- lower transfer-in,Exclusively undergraduate four-year,Small four-year- primarily residential,-106.91971000000001,38.547421,,,,
Yeshiva Toras Chaim Talmudical Seminary,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,High undergraduate,Not applicable- special focus institution,-105.043282,39.741781000000003,,,,
Albertus Magnus College,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- inclusive,High undergraduate,Small four-year- primarily residential,-72.923847999999992,41.332518999999998,18243.0,28110.0,,
Paul Mitchell The School-Danbury,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-73.442103000000003,41.387607000000003,21462.0,21462.0,,
Asnuntuck Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Single Campus,Higher part-time two-year,Exclusively undergraduate two-year,Small two-year,-72.570177000000001,41.998409000000002,,,,
Bais Binyomin Academy,Private not-for-profit,Undergraduate degree or certificate offering,Not classified,Associate's--Private Not-for-profit 4-year Primarily Associate's,Full-time four-year- inclusive,Very high undergraduate,Very small four-year- highly residential,-73.534604000000002,41.059922,,,,
Branford Hall Career Institute-Branford Campus,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-72.848201000000003,41.278556999999999,,,,
Lincoln College of New England-Southington,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Higher part-time four-year,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-72.920217000000008,41.632345000000001,31133.0,31390.0,,
Bridgeport Hospital School of Nursing,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-73.165184999999994,41.189413000000002,,,,
University of Bridgeport,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Master's Colleges and Universities (larger programs),Medium full-time four-year- inclusive,Majority graduate/professional,Medium four-year- primarily residential,-73.189352,41.165587000000002,25459.0,27546.0,0.01,
Butler Business School Inc,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-73.221593999999996,41.176845,,,,
